route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
73770,1,74,MOUNT PLEASANT,,3,,FF0000,FFFFFF
73771,1,75,SHERBOURNE,,3,,FF0000,FFFFFF
73772,1,76,ROYAL YORK SOUTH,,3,,FF0000,FFFFFF
73773,1,77,SWANSEA,,3,,FF0000,FFFFFF
73774,1,78,ST. ANDREWS,,3,,FF0000,FFFFFF
73775,1,79,SCARLETT RD.,,3,,FF0000,FFFFFF
73776,1,8,BROADVIEW,,3,,FF0000,FFFFFF
73777,1,80,QUEENSWAY,,3,,FF0000,FFFFFF
73778,1,82,ROSEDALE,,3,,FF0000,FFFFFF
73779,1,83,JONES,,3,,FF0000,FFFFFF
73780,1,84,SHEPPARD WEST,,3,,FF0000,FFFFFF
73781,1,85,SHEPPARD EAST,,3,,FF0000,FFFFFF
73782,1,86,SCARBOROUGH,,3,,FF0000,FFFFFF
73783,1,87,COSBURN,,3,,FF0000,FFFFFF
73784,1,88,SOUTH LEASIDE,,3,,FF0000,FFFFFF
73785,1,89,WESTON,,3,,FF0000,FFFFFF
73786,1,9,BELLAMY,,3,,FF0000,FFFFFF
73787,1,90,VAUGHAN,,3,,FF0000,FFFFFF
73788,1,900,AIRPORT EXPRESS,,3,,008000,FFFFFF
73789,1,902,MARKHAM RD EXPRESS,,3,,008000,FFFFFF
73790,1,903,KENNEDY STN-SCARBOROUGH EXPRESS,,3,,008000,FFFFFF
73791,1,904,SHEPPARD-KENNEDY EXPRESS,,3,,008000,FFFFFF
73792,1,905,EGLINTON EAST EXPRESS,,3,,008000,FFFFFF
73793,1,91,WOODBINE,,3,,FF0000,FFFFFF
73794,1,92,WOODBINE SOUTH,,3,,FF0000,FFFFFF
73795,1,924,VICTORIA PARK EXPRESS,,3,,008000,FFFFFF
73796,1,925,DON MILLS EXPRESS,,3,,008000,FFFFFF
73797,1,927,HIGHWAY 27 EXPRESS,,3,,008000,FFFFFF
73798,1,929,DUFFERIN EXPRESS,,3,,008000,FFFFFF
73799,1,93,PARKVIEW HILLS,,3,,FF0000,FFFFFF
73800,1,935,JANE EXPRESS,,3,,008000,FFFFFF
73801,1,937,ISLINGTON EXPRESS,,3,,008000,FFFFFF
73802,1,938,HIGHLAND CREEK EXPRESS,,3,,008000,FFFFFF
73803,1,939,FINCH EXPRESS,,3,,008000,FFFFFF
73804,1,94,WELLESLEY,,3,,FF0000,FFFFFF
73805,1,941,KEELE EXPRESS,,3,,008000,FFFFFF
73806,1,944,KIPLING SOUTH EXPRESS,,3,,008000,FFFFFF
73807,1,945,KIPLING EXPRESS,,3,,008000,FFFFFF
73808,1,95,YORK MILLS,,3,,FF0000,FFFFFF
73809,1,952,LAWRENCE WEST EXPRESS,,3,,008000,FFFFFF
73810,1,953,STEELES EAST EXPRESS,,3,,008000,FFFFFF
73811,1,954,LAWRENCE EAST EXPRESS,,3,,008000,FFFFFF
73812,1,96,WILSON,,3,,FF0000,FFFFFF
73813,1,960,STEELES WEST EXPRESS,,3,,008000,FFFFFF
73814,1,968,WARDEN EXPRESS,,3,,008000,FFFFFF
73815,1,97,YONGE,,3,,FF0000,FFFFFF
73816,1,98,WILLOWDALE-SENLAC,,3,,FF0000,FFFFFF
73817,1,984,SHEPPARD WEST EXPRESS,,3,,008000,FFFFFF
73818,1,985,SHEPPARD EAST EXPRESS,,3,,008000,FFFFFF
73819,1,986,SCARBOROUGH EXPRESS,,3,,008000,FFFFFF
73820,1,989,WESTON EXPRESS,,3,,008000,FFFFFF
73821,1,99,ARROW ROAD,,3,,FF0000,FFFFFF
73822,1,995,YORK MILLS EXPRESS,,3,,008000,FFFFFF
73823,1,996,WILSON EXPRESS,,3,,008000,FFFFFF
